,D=2,D=4,D=8,D=16,D=32
100,0.0,0.0,0.0011,0.001,0.001
1000,0.007,0.0065,0.007,0.0071,0.0065
10000,0.0716,0.0699,0.0735,0.0663,0.0688
100000,0.6732,0.6561,0.7036,0.6714,0.722
