,D=2,D=4,D=8,D=16,D=32
100,0.0005,0.001,0.0,0.0,0.001
1000,0.0,0.0,0.001,0.001,0.001
10000,0.0,0.001,0.0,0.0112,0.015
100000,0.001,0.0005,0.002,0.0785,0.1914
